bar,bartender,day,start,end,date
"Admiral Benbow Inn","Laura Cranmer",Monday,14:30,22:30,2018-10-15
"Admiral Benbow Inn","Lowell Zurawski",Monday,14:30,22:30,2018-10-15
"Admiral Benbow Inn","Jorge Whitaker",Monday,16:00,22:30,2018-10-15
"Admiral Benbow Inn","Jenny Ballantyne",Monday,10:00,14:30,2018-10-15
"Admiral Benbow Inn","James Rogers",Tuesday,16:45,23:00,2018-10-09
"Admiral Benbow Inn","Joe Browning",Tuesday,16:45,23:00,2018-10-09
"Admiral Benbow Inn","Jorge Whitaker",Tuesday,16:45,23:00,2018-10-09
"Admiral Benbow Inn","Jenny Ballantyne",Tuesday,16:45,23:00,2018-10-09
"Admiral Benbow Inn","Mae Mclean",Tuesday,11:00,16:45,2018-10-09
"Admiral Benbow Inn","Lowell Zurawski",Tuesday,11:00,16:45,2018-10-09
"Admiral Benbow Inn","Henry Kujawski",Tuesday,16:45,23:00,2018-10-09
"Admiral Benbow Inn","Laura Cranmer",Tuesday,16:25,23:00,2018-10-09
"Admiral Benbow Inn","Judith Auger",Tuesday,13:00,23:00,2018-10-09
"Admiral Benbow Inn","Janet Livingston",Tuesday,11:00,20:00,2018-10-09
"Admiral Benbow Inn","James Rogers",Wednesday,16:20,22:15,2018-10-10
"Admiral Benbow Inn","Mae Mclean",Wednesday,16:20,22:15,2018-10-10
"Admiral Benbow Inn","Judith Auger",Wednesday,16:20,22:15,2018-10-10
"Admiral Benbow Inn","Joe Browning",Wednesday,16:20,22:15,2018-10-10
"Admiral Benbow Inn","Laura Cranmer",Wednesday,09:00,16:20,2018-10-10
"Admiral Benbow Inn","Henry Kujawski",Wednesday,09:00,16:20,2018-10-10
"Admiral Benbow Inn","Jenny Ballantyne",Wednesday,16:00,22:15,2018-10-10
"Admiral Benbow Inn","Janet Livingston",Wednesday,16:45,22:15,2018-10-10
"Admiral Benbow Inn","Lowell Zurawski",Wednesday,13:00,22:15,2018-10-10
"Admiral Benbow Inn","Jorge Whitaker",Wednesday,09:00,17:45,2018-10-10
"Admiral Benbow Inn","Mae Mclean",Thursday,13:45,22:15,2018-10-11
"Admiral Benbow Inn","Jenny Ballantyne",Thursday,13:45,22:15,2018-10-11
"Admiral Benbow Inn","Laura Cranmer",Thursday,13:45,22:15,2018-10-11
"Admiral Benbow Inn","Henry Kujawski",Thursday,13:45,22:15,2018-10-11
"Admiral Benbow Inn","Lowell Zurawski",Thursday,08:00,13:45,2018-10-11
"Admiral Benbow Inn","Janet Livingston",Thursday,08:00,13:45,2018-10-11
"Admiral Benbow Inn","Joe Browning",Thursday,16:45,22:15,2018-10-11
"Admiral Benbow Inn","James Rogers",Thursday,16:45,22:15,2018-10-11
"Admiral Benbow Inn","Judith Auger",Thursday,20:00,22:15,2018-10-11
"Admiral Benbow Inn","Jorge Whitaker",Thursday,08:00,14:30,2018-10-11
"Admiral Benbow Inn","Janet Livingston",Friday,15:00,22:15,2018-10-12
"Admiral Benbow Inn","Lowell Zurawski",Friday,15:00,22:15,2018-10-12
"Admiral Benbow Inn","James Rogers",Friday,15:00,22:15,2018-10-12
"Admiral Benbow Inn","Jenny Ballantyne",Friday,15:00,22:15,2018-10-12
"Admiral Benbow Inn","Laura Cranmer",Friday,12:00,15:00,2018-10-12
"Admiral Benbow Inn","Mae Mclean",Friday,12:00,15:00,2018-10-12
"Admiral Benbow Inn","Joe Browning",Friday,14:30,22:15,2018-10-12
"Admiral Benbow Inn","Jorge Whitaker",Friday,16:00,22:15,2018-10-12
"Admiral Benbow Inn","Judith Auger",Friday,16:00,22:15,2018-10-12
"Admiral Benbow Inn","Henry Kujawski",Friday,12:00,16:45,2018-10-12
"Admiral Benbow Inn","Jorge Whitaker",Sunday,15:00,23:00,2018-10-14
"Admiral Benbow Inn","Henry Kujawski",Sunday,15:00,23:00,2018-10-14
"Admiral Benbow Inn","James Rogers",Sunday,15:00,23:00,2018-10-14
"Admiral Benbow Inn","Lowell Zurawski",Sunday,15:00,23:00,2018-10-14
"Admiral Benbow Inn","Janet Livingston",Sunday,10:00,15:00,2018-10-14
"Admiral Benbow Inn","Laura Cranmer",Sunday,10:00,15:00,2018-10-14
"Admiral Benbow Inn","Judith Auger",Sunday,16:00,23:00,2018-10-14
"Admiral Benbow Inn","Joe Browning",Sunday,20:00,23:00,2018-10-14
"Admiral Benbow Inn","Mae Mclean",Sunday,16:45,23:00,2018-10-14
"Admiral Benbow Inn","Jenny Ballantyne",Sunday,10:00,16:45,2018-10-14
"Admiral Benbow Inn","Joe Browning",Saturday,15:00,22:00,2018-10-13
"Admiral Benbow Inn","Henry Kujawski",Saturday,15:00,22:00,2018-10-13
"Admiral Benbow Inn","Jorge Whitaker",Saturday,15:00,22:00,2018-10-13
"Admiral Benbow Inn","Laura Cranmer",Saturday,15:00,22:00,2018-10-13
"Admiral Benbow Inn","Judith Auger",Saturday,09:00,15:00,2018-10-13
"Admiral Benbow Inn","Mae Mclean",Saturday,09:00,15:00,2018-10-13
"Admiral Benbow Inn","Lowell Zurawski",Saturday,13:00,22:00,2018-10-13
"Admiral Benbow Inn","Janet Livingston",Saturday,16:00,22:00,2018-10-13
"Admiral Benbow Inn","James Rogers",Saturday,16:25,22:00,2018-10-13
"Admiral Benbow Inn","Jenny Ballantyne",Saturday,09:00,16:00,2018-10-13
"Amused Lemon Parlor","Denise Green",Monday,14:50,23:45,2018-10-15
"Amused Lemon Parlor","Donita Ceasar",Monday,14:50,23:45,2018-10-15
"Amused Lemon Parlor","Brooke Dodge",Monday,14:50,23:45,2018-10-15
"Amused Lemon Parlor","Deborah Kinlaw",Monday,14:50,23:45,2018-10-15
"Amused Lemon Parlor","Brittney Rigney",Monday,12:00,14:50,2018-10-15
"Amused Lemon Parlor","Eleanor Taul",Monday,12:00,14:50,2018-10-15
"Amused Lemon Parlor","David Rene",Monday,16:45,23:45,2018-10-15
"Amused Lemon Parlor","Emile Culpepper",Monday,16:45,23:45,2018-10-15
"Amused Lemon Parlor","Donna Grissett",Monday,14:30,23:45,2018-10-15
"Amused Lemon Parlor","Gary Colace",Monday,12:00,13:00,2018-10-15
"Amused Lemon Parlor","Brittney Rigney",Tuesday,16:45,23:15,2018-10-09
"Amused Lemon Parlor","Donita Ceasar",Tuesday,16:45,23:15,2018-10-09
"Amused Lemon Parlor","Gary Colace",Tuesday,16:45,23:15,2018-10-09
"Amused Lemon Parlor","Donna Grissett",Tuesday,16:45,23:15,2018-10-09
"Amused Lemon Parlor","Deborah Kinlaw",Tuesday,08:00,16:45,2018-10-09
"Amused Lemon Parlor","Denise Green",Tuesday,08:00,16:45,2018-10-09
"Amused Lemon Parlor","Emile Culpepper",Tuesday,13:00,23:15,2018-10-09
"Amused Lemon Parlor","Brooke Dodge",Tuesday,16:00,23:15,2018-10-09
"Amused Lemon Parlor","David Rene",Tuesday,16:25,23:15,2018-10-09
"Amused Lemon Parlor","Eleanor Taul",Tuesday,08:00,20:00,2018-10-09
"Amused Lemon Parlor","Donita Ceasar",Wednesday,13:45,22:15,2018-10-10
"Amused Lemon Parlor","David Rene",Wednesday,13:45,22:15,2018-10-10
"Amused Lemon Parlor","Brittney Rigney",Wednesday,13:45,22:15,2018-10-10
"Amused Lemon Parlor","Emile Culpepper",Wednesday,13:45,22:15,2018-10-10
"Amused Lemon Parlor","Donna Grissett",Wednesday,08:00,13:45,2018-10-10
"Amused Lemon Parlor","Deborah Kinlaw",Wednesday,08:00,13:45,2018-10-10
"Amused Lemon Parlor","Brooke Dodge",Wednesday,17:45,22:15,2018-10-10
"Amused Lemon Parlor","Denise Green",Wednesday,20:00,22:15,2018-10-10
"Amused Lemon Parlor","Gary Colace",Wednesday,14:30,22:15,2018-10-10
"Amused Lemon Parlor","Eleanor Taul",Wednesday,08:00,20:00,2018-10-10
"Amused Lemon Parlor","Brooke Dodge",Thursday,13:30,22:15,2018-10-11
"Amused Lemon Parlor","Donita Ceasar",Thursday,13:30,22:15,2018-10-11
"Amused Lemon Parlor","Eleanor Taul",Thursday,13:30,22:15,2018-10-11
"Amused Lemon Parlor","Emile Culpepper",Thursday,13:30,22:15,2018-10-11
"Amused Lemon Parlor","Donna Grissett",Thursday,08:00,13:30,2018-10-11
"Amused Lemon Parlor","Brittney Rigney",Thursday,08:00,13:30,2018-10-11
"Amused Lemon Parlor","Denise Green",Thursday,14:30,22:15,2018-10-11
"Amused Lemon Parlor","Deborah Kinlaw",Thursday,16:25,22:15,2018-10-11
"Amused Lemon Parlor","Gary Colace",Thursday,20:00,22:15,2018-10-11
"Amused Lemon Parlor","David Rene",Thursday,08:00,13:00,2018-10-11
"Amused Lemon Parlor","Donna Grissett",Friday,13:45,23:00,2018-10-12
"Amused Lemon Parlor","David Rene",Friday,13:45,23:00,2018-10-12
"Amused Lemon Parlor","Eleanor Taul",Friday,13:45,23:00,2018-10-12
"Amused Lemon Parlor","Brittney Rigney",Friday,13:45,23:00,2018-10-12
"Amused Lemon Parlor","Donita Ceasar",Friday,10:00,13:45,2018-10-12
"Amused Lemon Parlor","Denise Green",Friday,10:00,13:45,2018-10-12
"Amused Lemon Parlor","Emile Culpepper",Friday,16:00,23:00,2018-10-12
"Amused Lemon Parlor","Deborah Kinlaw",Friday,20:00,23:00,2018-10-12
"Amused Lemon Parlor","Gary Colace",Friday,20:00,23:00,2018-10-12
"Amused Lemon Parlor","Brooke Dodge",Friday,10:00,16:00,2018-10-12
"Amused Lemon Parlor","Brooke Dodge",Sunday,16:20,23:30,2018-10-14
"Amused Lemon Parlor","Donita Ceasar",Sunday,16:20,23:30,2018-10-14
"Amused Lemon Parlor","Donna Grissett",Sunday,16:20,23:30,2018-10-14
"Amused Lemon Parlor","Gary Colace",Sunday,16:20,23:30,2018-10-14
"Amused Lemon Parlor","Denise Green",Sunday,09:00,16:20,2018-10-14
"Amused Lemon Parlor","Deborah Kinlaw",Sunday,09:00,16:20,2018-10-14
"Amused Lemon Parlor","David Rene",Sunday,17:45,23:30,2018-10-14
"Amused Lemon Parlor","Eleanor Taul",Sunday,17:45,23:30,2018-10-14
"Amused Lemon Parlor","Brittney Rigney",Sunday,16:45,23:30,2018-10-14
"Amused Lemon Parlor","Emile Culpepper",Sunday,09:00,14:30,2018-10-14
"Amused Lemon Parlor","Denise Green",Saturday,16:20,22:00,2018-10-13
"Amused Lemon Parlor","Donna Grissett",Saturday,16:20,22:00,2018-10-13
"Amused Lemon Parlor","David Rene",Saturday,16:20,22:00,2018-10-13
"Amused Lemon Parlor","Gary Colace",Saturday,16:20,22:00,2018-10-13
"Amused Lemon Parlor","Emile Culpepper",Saturday,12:00,16:20,2018-10-13
"Amused Lemon Parlor","Brooke Dodge",Saturday,12:00,16:20,2018-10-13
"Amused Lemon Parlor","Brittney Rigney",Saturday,16:00,22:00,2018-10-13
"Amused Lemon Parlor","Deborah Kinlaw",Saturday,16:00,22:00,2018-10-13
"Amused Lemon Parlor","Eleanor Taul",Saturday,17:45,22:00,2018-10-13
"Amused Lemon Parlor","Donita Ceasar",Saturday,12:00,20:00,2018-10-13
Anchor,"Patricia Goldfeder",Monday,13:45,22:00,2018-10-15
Anchor,"Teresa Biles",Monday,13:45,22:00,2018-10-15
Anchor,"Timothy Hardman",Monday,13:45,22:00,2018-10-15
Anchor,"Nicholas Valdez",Monday,13:45,22:00,2018-10-15
Anchor,"Robin Carter",Monday,08:00,13:45,2018-10-15
Anchor,"Ruth Catlin",Monday,08:00,13:45,2018-10-15
Anchor,"Robert Knox",Monday,14:30,22:00,2018-10-15
Anchor,"Maurice Arvin",Monday,13:00,22:00,2018-10-15
Anchor,"Peter Burkes",Monday,20:00,22:00,2018-10-15
Anchor,"Stella Nodine",Monday,08:00,13:00,2018-10-15
Anchor,"Ruth Catlin",Tuesday,13:30,23:00,2018-10-09
Anchor,"Nicholas Valdez",Tuesday,13:30,23:00,2018-10-09
Anchor,"Patricia Goldfeder",Tuesday,13:30,23:00,2018-10-09
Anchor,"Teresa Biles",Tuesday,13:30,23:00,2018-10-09
Anchor,"Timothy Hardman",Tuesday,12:00,13:30,2018-10-09
Anchor,"Maurice Arvin",Tuesday,12:00,13:30,2018-10-09
Anchor,"Stella Nodine",Tuesday,13:00,23:00,2018-10-09
Anchor,"Robert Knox",Tuesday,16:25,23:00,2018-10-09
Anchor,"Robin Carter",Tuesday,16:45,23:00,2018-10-09
Anchor,"Peter Burkes",Tuesday,12:00,16:00,2018-10-09
Anchor,"Maurice Arvin",Wednesday,13:30,22:45,2018-10-10
Anchor,"Ruth Catlin",Wednesday,13:30,22:45,2018-10-10
Anchor,"Teresa Biles",Wednesday,13:30,22:45,2018-10-10
Anchor,"Timothy Hardman",Wednesday,13:30,22:45,2018-10-10
Anchor,"Stella Nodine",Wednesday,11:00,13:30,2018-10-10
Anchor,"Nicholas Valdez",Wednesday,11:00,13:30,2018-10-10
Anchor,"Patricia Goldfeder",Wednesday,20:00,22:45,2018-10-10
Anchor,"Peter Burkes",Wednesday,16:00,22:45,2018-10-10
Anchor,"Robert Knox",Wednesday,14:30,22:45,2018-10-10
Anchor,"Robin Carter",Wednesday,11:00,14:30,2018-10-10
Anchor,"Teresa Biles",Thursday,16:20,22:30,2018-10-11
Anchor,"Maurice Arvin",Thursday,16:20,22:30,2018-10-11
Anchor,"Ruth Catlin",Thursday,16:20,22:30,2018-10-11
Anchor,"Robin Carter",Thursday,16:20,22:30,2018-10-11
Anchor,"Robert Knox",Thursday,10:00,16:20,2018-10-11
Anchor,"Stella Nodine",Thursday,10:00,16:20,2018-10-11
Anchor,"Timothy Hardman",Thursday,17:45,22:30,2018-10-11
Anchor,"Peter Burkes",Thursday,16:45,22:30,2018-10-11
Anchor,"Patricia Goldfeder",Thursday,17:45,22:30,2018-10-11
Anchor,"Nicholas Valdez",Thursday,10:00,17:45,2018-10-11
Anchor,"Robin Carter",Friday,16:45,23:45,2018-10-12
Anchor,"Nicholas Valdez",Friday,16:45,23:45,2018-10-12
Anchor,"Robert Knox",Friday,16:45,23:45,2018-10-12
Anchor,"Peter Burkes",Friday,16:45,23:45,2018-10-12
Anchor,"Teresa Biles",Friday,09:00,16:45,2018-10-12
Anchor,"Timothy Hardman",Friday,09:00,16:45,2018-10-12
Anchor,"Patricia Goldfeder",Friday,16:00,23:45,2018-10-12
Anchor,"Maurice Arvin",Friday,13:00,23:45,2018-10-12
Anchor,"Ruth Catlin",Friday,16:45,23:45,2018-10-12
Anchor,"Stella Nodine",Friday,09:00,16:25,2018-10-12
Anchor,"Timothy Hardman",Sunday,16:20,22:45,2018-10-14
Anchor,"Robin Carter",Sunday,16:20,22:45,2018-10-14
Anchor,"Maurice Arvin",Sunday,16:20,22:45,2018-10-14
Anchor,"Peter Burkes",Sunday,16:20,22:45,2018-10-14
Anchor,"Robert Knox",Sunday,10:00,16:20,2018-10-14
Anchor,"Ruth Catlin",Sunday,10:00,16:20,2018-10-14
Anchor,"Stella Nodine",Sunday,16:45,22:45,2018-10-14
Anchor,"Teresa Biles",Sunday,16:45,22:45,2018-10-14
Anchor,"Patricia Goldfeder",Sunday,16:45,22:45,2018-10-14
Anchor,"Nicholas Valdez",Sunday,10:00,17:45,2018-10-14
Anchor,"Patricia Goldfeder",Saturday,15:00,22:15,2018-10-13
Anchor,"Peter Burkes",Saturday,15:00,22:15,2018-10-13
Anchor,"Maurice Arvin",Saturday,15:00,22:15,2018-10-13
Anchor,"Teresa Biles",Saturday,15:00,22:15,2018-10-13
Anchor,"Robin Carter",Saturday,11:00,15:00,2018-10-13
Anchor,"Stella Nodine",Saturday,11:00,15:00,2018-10-13
Anchor,"Timothy Hardman",Saturday,16:45,22:15,2018-10-13
Anchor,"Nicholas Valdez",Saturday,16:45,22:15,2018-10-13
Anchor,"Robert Knox",Saturday,20:00,22:15,2018-10-13
Anchor,"Ruth Catlin",Saturday,11:00,13:00,2018-10-13
"Armed Pudding Bar","Beth Law",Monday,15:00,23:15,2018-10-15
"Armed Pudding Bar","Donald Dang",Monday,15:00,23:15,2018-10-15
"Armed Pudding Bar","Boyd Dedmon",Monday,15:00,23:15,2018-10-15
"Armed Pudding Bar","Frank Vanwassenhove",Monday,15:00,23:15,2018-10-15
"Armed Pudding Bar","Brian Mccain",Monday,11:00,15:00,2018-10-15
"Armed Pudding Bar","Anthony Thomas",Monday,11:00,15:00,2018-10-15
"Armed Pudding Bar","Deidre Linkovich",Monday,20:00,23:15,2018-10-15
"Armed Pudding Bar","Brandy Ferreira",Monday,16:25,23:15,2018-10-15
"Armed Pudding Bar","Amy Schnitker",Monday,14:30,23:15,2018-10-15
"Armed Pudding Bar","Ben Martinez",Monday,11:00,16:45,2018-10-15
"Armed Pudding Bar","Ben Martinez",Tuesday,13:45,23:15,2018-10-09
"Armed Pudding Bar","Boyd Dedmon",Tuesday,13:45,23:15,2018-10-09
"Armed Pudding Bar","Brian Mccain",Tuesday,13:45,23:15,2018-10-09
"Armed Pudding Bar","Anthony Thomas",Tuesday,13:45,23:15,2018-10-09
"Armed Pudding Bar","Brandy Ferreira",Tuesday,10:00,13:45,2018-10-09
"Armed Pudding Bar","Donald Dang",Tuesday,10:00,13:45,2018-10-09
"Armed Pudding Bar","Deidre Linkovich",Tuesday,16:45,23:15,2018-10-09
"Armed Pudding Bar","Frank Vanwassenhove",Tuesday,16:45,23:15,2018-10-09
"Armed Pudding Bar","Beth Law",Tuesday,17:45,23:15,2018-10-09
"Armed Pudding Bar","Amy Schnitker",Tuesday,10:00,16:45,2018-10-09
"Armed Pudding Bar","Deidre Linkovich",Wednesday,15:00,22:45,2018-10-10
"Armed Pudding Bar","Amy Schnitker",Wednesday,15:00,22:45,2018-10-10
"Armed Pudding Bar","Anthony Thomas",Wednesday,15:00,22:45,2018-10-10
"Armed Pudding Bar","Brian Mccain",Wednesday,15:00,22:45,2018-10-10
"Armed Pudding Bar","Brandy Ferreira",Wednesday,08:00,15:00,2018-10-10
"Armed Pudding Bar","Frank Vanwassenhove",Wednesday,08:00,15:00,2018-10-10
"Armed Pudding Bar","Ben Martinez",Wednesday,16:00,22:45,2018-10-10
"Armed Pudding Bar","Beth Law",Wednesday,20:00,22:45,2018-10-10
"Armed Pudding Bar","Donald Dang",Wednesday,13:00,22:45,2018-10-10
"Armed Pudding Bar","Boyd Dedmon",Wednesday,08:00,17:45,2018-10-10
"Armed Pudding Bar","Brian Mccain",Thursday,15:00,23:45,2018-10-11
"Armed Pudding Bar","Anthony Thomas",Thursday,15:00,23:45,2018-10-11
"Armed Pudding Bar","Brandy Ferreira",Thursday,15:00,23:45,2018-10-11
"Armed Pudding Bar","Frank Vanwassenhove",Thursday,15:00,23:45,2018-10-11
"Armed Pudding Bar","Donald Dang",Thursday,10:00,15:00,2018-10-11
"Armed Pudding Bar","Beth Law",Thursday,10:00,15:00,2018-10-11
"Armed Pudding Bar","Ben Martinez",Thursday,13:00,23:45,2018-10-11
"Armed Pudding Bar","Amy Schnitker",Thursday,14:30,23:45,2018-10-11
"Armed Pudding Bar","Deidre Linkovich",Thursday,17:45,23:45,2018-10-11
"Armed Pudding Bar","Boyd Dedmon",Thursday,10:00,16:45,2018-10-11
"Armed Pudding Bar","Amy Schnitker",Friday,14:50,23:45,2018-10-12
"Armed Pudding Bar","Ben Martinez",Friday,14:50,23:45,2018-10-12
"Armed Pudding Bar","Anthony Thomas",Friday,14:50,23:45,2018-10-12
"Armed Pudding Bar","Beth Law",Friday,14:50,23:45,2018-10-12
"Armed Pudding Bar","Brandy Ferreira",Friday,10:00,14:50,2018-10-12
"Armed Pudding Bar","Boyd Dedmon",Friday,10:00,14:50,2018-10-12
"Armed Pudding Bar","Deidre Linkovich",Friday,20:00,23:45,2018-10-12
"Armed Pudding Bar","Brian Mccain",Friday,16:25,23:45,2018-10-12
"Armed Pudding Bar","Donald Dang",Friday,17:45,23:45,2018-10-12
"Armed Pudding Bar","Frank Vanwassenhove",Friday,10:00,17:45,2018-10-12
"Armed Pudding Bar","Brandy Ferreira",Sunday,16:20,23:00,2018-10-14
"Armed Pudding Bar","Frank Vanwassenhove",Sunday,16:20,23:00,2018-10-14
"Armed Pudding Bar","Beth Law",Sunday,16:20,23:00,2018-10-14
"Armed Pudding Bar","Anthony Thomas",Sunday,16:20,23:00,2018-10-14
"Armed Pudding Bar","Boyd Dedmon",Sunday,10:00,16:20,2018-10-14
"Armed Pudding Bar","Donald Dang",Sunday,10:00,16:20,2018-10-14
"Armed Pudding Bar","Deidre Linkovich",Sunday,20:00,23:00,2018-10-14
"Armed Pudding Bar","Brian Mccain",Sunday,16:45,23:00,2018-10-14
"Armed Pudding Bar","Amy Schnitker",Sunday,16:00,23:00,2018-10-14
"Armed Pudding Bar","Ben Martinez",Sunday,10:00,16:45,2018-10-14
"Armed Pudding Bar","Frank Vanwassenhove",Saturday,15:00,22:15,2018-10-13
"Armed Pudding Bar","Deidre Linkovich",Saturday,15:00,22:15,2018-10-13
"Armed Pudding Bar","Amy Schnitker",Saturday,15:00,22:15,2018-10-13
"Armed Pudding Bar","Beth Law",Saturday,15:00,22:15,2018-10-13
"Armed Pudding Bar","Brandy Ferreira",Saturday,11:00,15:00,2018-10-13
"Armed Pudding Bar","Brian Mccain",Saturday,11:00,15:00,2018-10-13
"Armed Pudding Bar","Ben Martinez",Saturday,17:45,22:15,2018-10-13
"Armed Pudding Bar","Anthony Thomas",Saturday,20:00,22:15,2018-10-13
"Armed Pudding Bar","Boyd Dedmon",Saturday,17:45,22:15,2018-10-13
"Armed Pudding Bar","Donald Dang",Saturday,11:00,16:25,2018-10-13
"Assorted Dandelion Bar","Lynn Velez",Monday,16:45,22:45,2018-10-15
"Assorted Dandelion Bar","Katherine Bowen",Monday,16:45,22:45,2018-10-15
"Assorted Dandelion Bar","Lynette Aguirre",Monday,16:45,22:45,2018-10-15
"Assorted Dandelion Bar","Mark Hughes",Monday,16:45,22:45,2018-10-15
"Assorted Dandelion Bar","Linda Mclaughlin",Monday,09:00,16:45,2018-10-15
"Assorted Dandelion Bar","Marti Ruddy",Monday,09:00,16:45,2018-10-15
"Assorted Dandelion Bar","Garry Gross",Monday,14:30,22:45,2018-10-15
