bar,drinker
"Unusual Truffle","Alfred Estrada"
"Wicked Stream","Alfred Estrada"
"Venomous River Inn","Alfred Hatfield"
"Wicked Stream","Alfred Hatfield"
"Unusual Truffle","Alfred Hatfield"
"Hidden Lady Parlor","Alfred Lane"
"Hissing Ocean Bar","Alfred Lane"
"Hidden Table Brewpub","Alfred Lane"
"Brave Olive Pub","Alfred Moss"
"Blue City","Alfred Moss"
"Busy Bachelor Bar","Alfred Moss"
"Sore Head","Alfred Narvaez"
"Snobbish Jackal Inn","Alfred Narvaez"
"Smelly Crane Tavern","Alfred Narvaez"
"Absent Snow","Alfred Pearcy"
"Busy Bachelor Bar","Alfred Rumsey"
"Hungry Vanilla Bean Tavern","Alfredo Cook"
"Hypnotic Gate Tavern","Alfredo Cook"
"Bloody Lady","Alfredo Jackson"
"Best Stick Tavern","Alfredo Jackson"
"Icky Elephants Tavern","Alfredo James"
"Unusual Truffle","Alfredo Massey"
"Sudden Dragon Bar","Alfredo Swick"
"Chinese Oak","Alfredo White"
"Chubby Badger Pub","Alfredo White"
"Chunky Hawks Tavern","Alfredo Williams"
"Nervous Jaguar Inn","Alice Adams"
"Nervous Mountain Inn","Alice Adams"
"Outrageous Sailboat Inn","Alice Adkerson"
"Cheap Vampire","Alice Braun"
"Chubby Badger Pub","Alice Braun"
"Chinese Oak","Alice Braun"
"Chinese Oak","Alice Brown"
"Chubby Badger Pub","Alice Brown"
"Hidden Lady Parlor","Alice Cole"
"Hissing Ocean Bar","Alice Cole"
"Hidden Table Brewpub","Alice Cole"
"Russian Otter Pub","Alice Dawson"
Anchor,"Alice Fleming"
"Admiral Benbow Inn","Alice Fleming"
"Absent Snow","Alice Fleming"
"New Spider Bar","Alice Goings"
"Shouting Snake Inn","Alice Granados"
"Skinny Guitar","Alice Granados"
"Shattered Oak","Alice Granados"
"Armed Pudding Bar","Alice Lally"
"Safe Palm Inn","Alice Lotzer"
"Scary Kiwi","Alice Lotzer"
"Steel Yew","Alice Luhman"
"Spirited Brew Saloon","Alice Luhman"
"Steel Elf","Alice Luhman"
"Nimble Squash","Alice Mckinley"
"Nimble Stream Pub","Alice Mckinley"
"Mixing Demon Pub","Alice Michelotti"
"Molten Ants Bar","Alice Michelotti"
"Natural Leopard","Alice Michelotti"
"Iron Turkey","Alice Pitts"
"Ivory Lamb Pub","Alice Pitts"
"Poor Bats Inn","Alice Weddle"
"Sweet And Sour Castle Bar","Alice Westlund"
"Sudden Dragon Bar","Alice Westlund"
"Sudden Octopus","Alice Westlund"
"Safe Palm Inn","Alicia Anderson"
"Oceanic Woodpecker Inn","Alicia Cantrell"
"Foamy Cave","Alicia Cruz"
"Fluffy Husband","Alicia Cruz"
"Fearless Drum Bar","Alicia Cruz"
"Smelly Crane Tavern","Alicia Hall"
"Sore Head","Alicia Hall"
"Snobbish Jackal Inn","Alicia Hall"
"Spinning Nomad Ale House","Alicia Henderson"
"Spicy Cats Tavern","Alicia Henderson"
"Venomous River Inn","Alicia Mckinnis"
"Lonely Snowdrop","Aline Gray"
"Loud Elderberry Bar","Aline Gray"
"Ruthless Chestnut","Alisa Batten"
"Rainy Lime Tavern","Alisa Frizzell"
"Quickest Doves","Alisa Frizzell"
"Scary Kiwi","Alisa Williams"
"Wretched Grape Inn","Alisha Johnson"
"Hungry Skunks Bar","Alison Hurley"
"Hungry Skunks Bar","Alison Owen"
"Hoppy Apple Brewhouse","Alison Owen"
"Shattered Oak","Alison Roberts"
"Hissing Ocean Bar","Alissa Bosley"
"Hidden Table Brewpub","Alissa Bosley"
"Nervous Jaguar Inn","Alissa Hout"
"Peaceful Bison","Alix Johnston"
"Parallel Pegasus Bar","Alix Johnston"
"Empty Snapdragon Pub","Alix Maguire"
"Teeny Gauntlet Bar","Alla Green"
"Triangular Pegasus Inn","Alla Green"
"Thundering Table Inn","Alla Green"
"Perfect Rabbit Tavern","Allan Bailey"
"Pleasant Parrot Tavern","Allan Bailey"
"Molten Ants Bar","Allan Doyle"
"Mixing Demon Pub","Allan Doyle"
"Natural Leopard","Allan Doyle"
"Dramatic Crabs","Allan Perea"
"Wild Hag Bar","Allen Alonso"
"Windy Harp","Allen Alonso"
"Deep Glass Bar","Allen Ball"
"Deep Lantern","Allen Ball"
"Diamond Turtle Inn","Allen Ball"
"Sweet And Sour Castle Bar","Allen Chambers"
"Keen Snail Bar","Allen Gamble"
"Jaded Pants Pub","Allen Gamble"
"Jealous Fiddle Pub","Allen Gamble"
"Needy Mind Tavern","Allen Kiel"
"Natural Squash Tavern","Allen Kiel"
"Naughty Bean Inn","Allen Kiel"
"New Spider Bar","Allen Mcneeley"
"Nervous Mountain Inn","Allen Mcneeley"
"Laughing Elephant Tavern","Allen Slaughter"
"Little Elixir Club","Allen Slaughter"
"Scared Crossbow Tavern","Allen Solomon"
"Safe Palm Inn","Allen Solomon"
"Discreet Elderberry Pub","Allen Storrs"
"Different Kumquat Pub","Allen Storrs"
"Wretched Grape Inn","Allen Wade"
"Regular Drum Tavern","Allen Yates"
"Rich Tauren Bar","Allen Yates"
"Responsible Chair","Allen Yates"
"Sweet And Sour Castle Bar","Allene Fritcher"
"Smelly Crane Tavern","Allison Angelocci"
"Sore Head","Allison Angelocci"
"Snobbish Jackal Inn","Allison Angelocci"
"Hungry Turtle Pub","Allison Baldwin"
"Hungry Vanilla Bean Tavern","Allison Baldwin"
"Hypnotic Gate Tavern","Allison Baldwin"
"Chubby Badger Pub","Allison Caldwell"
"Snobbish Jackal Inn","Allison Dancy"
"Smelly Crane Tavern","Allison Dancy"
"Scared Crossbow Tavern","Allison Hall"
"Scary Kiwi","Allison Hall"
"Nimble Stream Pub","Allison Plant"
"Wrong Whip Bar","Allison Straton"
"Amused Lemon Parlor","Allison Straton"
"Keen Snail Bar","Allison Wooten"
"Jealous Fiddle Pub","Allison Wooten"
"Hissing Ocean Bar","Allyson Hurt"
"Hidden Lady Parlor","Allyson Hurt"
"Clean Bed Inn","Allyson Lovell"
"Chunky Hawks Tavern","Alma Amato"
"Purple Pint Bar and Grille","Alma Beall"
"Proud Spiders","Alma Beall"
"Psychotic Seadog","Alma Beall"
"Purple Pint Bar and Grille","Alma Delacruz"
"Psychotic Seadog","Alma Delacruz"
Anchor,"Alma Gamble"
"Absent Snow","Alma Gamble"
"Admiral Benbow Inn","Alma Gamble"
"Russian Otter Pub","Alma Martin"
"Rusty Sailor Outpost","Alma Martin"
"Spirited Brew Saloon","Alma Perrins"
"Steel Elf","Alma Perrins"
"Steel Yew","Alma Perrins"
"Parallel Pegasus Bar","Alma Phillips"
"Overrated Pigeons Pub","Alma Phillips"
"Peaceful Bison","Alma Phillips"
"Deep Glass Bar","Alma Werner"
"Deep Lantern","Alma Werner"
"Diamond Turtle Inn","Alma Werner"
"Steel Elf","Alma Whitlock"
"Spirited Brew Saloon","Alma Whitlock"
"Steel Yew","Alma Whitlock"
"Oceanic Woodpecker Inn","Alonzo Tarin"
"Organic Buffalo Bar","Alonzo Tarin"
"Oceanic Knight Inn","Alonzo Tarin"
"Loud Elderberry Bar","Alphonso Winter"
"Lonely Snowdrop","Alphonso Winter"
"Nimble Stream Pub","Alta Bray"
"Nifty Branch Inn","Alta Bray"
"Nimble Squash","Alta Bray"
"Twelve Spider Inn","Altagracia Augeri"
"Sore Head","Althea Palumbo"
"Snobbish Jackal Inn","Althea Palumbo"
"Uneven Ants Tavern","Althea Wheeler"
"Tacky Lyre Pub","Alton Burton"
"Tasty Fairy Tavern","Alton Burton"
"Spicy Cats Tavern","Alva Jefferson"
"Sour Axe Bar","Alva Jefferson"
"Spinning Nomad Ale House","Alva Jefferson"
"Harsh Flame Tavern","Alvin Butters"
"Steel Elf","Alvin Colon"
"Steel Yew","Alvin Colon"
"Chinese Oak","Alvin Muddaththir"
"Keen Snail Bar","Alvin Twilley"
"Jaded Pants Pub","Alvin Twilley"
"Naughty Bean Inn","Alyson Thompson"
"Wrong Whip Bar","Amada Mendez"
"Ye Olde Lord Bar","Amada Mendez"
"Bloody Lady","Amado Gershon"
"Awful Salmon Bar","Amado Gershon"
"Discreet Elderberry Pub","Amado Gonzalez"
"Dizzy Lemon Lounge","Amado Gonzalez"
"Chunky Hawks Tavern","Amanda Borum"
"Clever Child","Amanda Borum"
"Peaceful Bison","Amanda Buddington"
"Nervous Jaguar Inn","Amanda Burke"
"New Spider Bar","Amanda Burke"
"Incredible Sailboat Pub","Amanda Clark"
"Icky Elephants Tavern","Amanda Clark"
"Sour Axe Bar","Amanda Clinton"
"Spinning Nomad Ale House","Amanda Clinton"
"Spicy Cats Tavern","Amanda Clinton"
"Assorted Dandelion Bar","Amanda Dao"
"Atomic Liquors","Amanda Dao"
"Armed Pudding Bar","Amanda Dao"
"Courageous Melon","Amanda Davis"
"Courageous Lyre Bar","Amanda Davis"
"Crooked Sailor Ale House","Amanda Davis"
"Loud Elderberry Bar","Amanda Hinkle"
"Lonely Snowdrop","Amanda Hinkle"
"Safe Palm Inn","Amanda Hughes"
"Amused Lemon Parlor","Amanda Humann"
"Ye Olde Lord Bar","Amanda Humann"
"Hidden Lady Parlor","Amanda Jagow"
"Rusty Sailor Outpost","Amanda Jaramillo"
"Twelve Spider Inn","Amanda Johnson"
"Ugliest Pants Tavern","Amanda Johnson"
"Uneven Ants Tavern","Amanda Johnson"
"Shouting Snake Inn","Amanda London"
"Sudden Octopus","Amanda Mitchell"
"Sweet And Sour Castle Bar","Amanda Mitchell"
"Jaded Pants Pub","Amanda Pinckney"
"Jealous Fiddle Pub","Amanda Pinckney"
"Rusty Sailor Outpost","Amanda Reyes"
"Ruthless Chestnut","Amanda Reyes"
"Hidden Table Brewpub","Amanda Schrecongost"
"Hissing Ocean Bar","Amanda Schrecongost"
"Hidden Lady Parlor","Amanda Schrecongost"
"Proud Spiders","Amanda Stauber"
"Middle Cushion Bar","Amanda Toman"
"Lying Explorer Tavern","Amanda Toman"
"Incredible Sailboat Pub","Amanda Uribe"
"Overrated Pigeons Pub","Amanda Vanmatre"
"Original Acorn Roadhouse","Amanda Wagner"
"Natural Leopard","Amber Burnside"
"Mixing Demon Pub","Amber Burnside"
"Ye Olde Lord Bar","Amber Caricofe"
"Lying Explorer Tavern","Amber Lindsey"
"Magnificent Dark Elf Bar","Amber Lindsey"
"Diamond Turtle Inn","Amber Neill"
"Deep Glass Bar","Amber Neill"
"Snobbish Jackal Inn","Amber Scharich"
"Smelly Crane Tavern","Amber Scharich"
"Sore Head","Amber Scharich"
"Wrong Whip Bar","Amber Simeon"
"Ye Olde Lord Bar","Amber Simeon"
"Teeny Gauntlet Bar","Amber Stutzman"
"Absent Snow","Amber Woody"
Anchor,"Amber Woody"
"Admiral Benbow Inn","Amber Woody"
"Best Stick Tavern","Amber Zayas"
"Bloody Lady","Amber Zayas"
"Deep Flute Bar","Amelia Christy"
"Daily Barracuda Inn","Amelia Christy"
"Dandy Cloud Bistro","Amelia Christy"
"Shouting Snake Inn","Amelia Crowell"
"Skinny Guitar","Amelia Crowell"
"Hungry Vanilla Bean Tavern","Amelia Davis"
"Latino Magpie","Amelia Hollyfield"
"Original Horse Brewpub","Amie Farnsworth"
"Original Acorn Roadhouse","Amie Farnsworth"
"Outrageous Sailboat Inn","Amie Farnsworth"
"Parallel Pegasus Bar","Amos Marmol"
"Peaceful Bison","Amos Marmol"
"Overrated Pigeons Pub","Amos Marmol"
"Gray City","Amy Albero"
"Gypsy Root Roadhouse","Amy Albero"
"Courageous Lyre Bar","Amy Barrett"
"Courageous Melon","Amy Barrett"
"Crooked Sailor Ale House","Amy Barrett"
"Deep Flute Bar","Amy Bradshaw"
"Daily Barracuda Inn","Amy Bradshaw"
"Spicy Cats Tavern","Amy Braun"
"Ivory Lamb Pub","Amy Carter"
"Iron Turkey","Amy Carter"
"Empty Snapdragon Pub","Amy Clutter"
"Mixing Demon Pub","Amy Correa"
"Natural Leopard","Amy Correa"
"Molten Ants Bar","Amy Correa"
"Laughing Elephant Tavern","Amy Gillespie"
"Latino Magpie","Amy Gillespie"
"Interesting Trumpet Inn","Amy Harris"
"Iron Library Tavern","Amy Harris"
"Iron Tigress Inn","Amy Harris"
"Lying Explorer Tavern","Amy Jeremiah"
"Middle Cushion Bar","Amy Jeremiah"
"Magnificent Dark Elf Bar","Amy Jeremiah"
"Tacky Lyre Pub","Amy Johnson"
"Sweet And Sour Castle Bar","Amy Kohl"
"Sudden Octopus","Amy Kohl"
"Discreet Elderberry Pub","Amy Laplante"
"Outrageous Sailboat Inn","Amy Lent"
"Steel Yew","Amy Lewis"
"Fascinated Demon Pub","Amy Lipscomb"
"Perfect Rabbit Tavern","Amy Lorentz"
"Pleasant Parrot Tavern","Amy Lorentz"
"Poor Bats Inn","Amy Lorentz"
"Mixing Demon Pub","Amy Martin"
"Icky Elephants Tavern","Amy Mcgrath"
"Pleasant Parrot Tavern","Amy Plank"
"Pleasant Parrot Tavern","Amy Roden"
"Perfect Rabbit Tavern","Amy Roden"
"Oceanic Woodpecker Inn","Amy Salazar"
"Organic Buffalo Bar","Amy Salazar"
"Oceanic Knight Inn","Amy Salazar"
"Jaded Pants Pub","Amy Silas"
"Jealous Fiddle Pub","Amy Silas"
"Keen Snail Bar","Amy Silas"
"Atomic Liquors","Amy Stone"
"Assorted Dandelion Bar","Amy Stone"
"Nervous Jaguar Inn","Amy Wallace"
"Psychotic Seadog","Amy Wedgewood"
"Purple Pint Bar and Grille","Amy Wedgewood"
"Iron Tigress Inn","Amy Williams"
"Twelve Spider Inn","Ana Grubbs"
"Ugliest Pants Tavern","Ana Grubbs"
"Jealous Fiddle Pub","Ana Hill"
"Jaded Pants Pub","Ana Hill"
"Deep Flute Bar","Ana Hoffman"
"Daily Barracuda Inn","Ana Hoffman"
"Diamond Turtle Inn","Ana Jones"
"Deep Glass Bar","Ana Jones"
"Deep Lantern","Ana Jones"
"Responsible Chair","Ana Moneypenny"
"Crooked Sailor Ale House","Ana Palmer"
"Courageous Lyre Bar","Ana Palmer"
"Courageous Melon","Ana Palmer"
"Naughty Bean Inn","Ana Shouse"
"Natural Squash Tavern","Ana Shouse"
"Needy Mind Tavern","Ana Shouse"
"Discreet Elderberry Pub","Anderson Ballard"
"Hot Cup Inn","Anderson Burris"
"Hoppy Apple Brewhouse","Anderson Burris"
"Hungry Skunks Bar","Anderson Burris"
"Jealous Fiddle Pub","Anderson Powles"
"Original Horse Brewpub","Andre Anderson"
"Original Acorn Roadhouse","Andre Anderson"
"Ye Olde Lord Bar","Andre Carroll"
"Deep Flute Bar","Andre Gettinger"
"Dandy Cloud Bistro","Andre Gettinger"
"Daily Barracuda Inn","Andre Gettinger"
